perturbation level,accuracy,RS,mCE,PDR,MDS
0.0,0.882,,,,
0.1,0.885,1.0034013605442176,0.0,-0.00340136054421769,
0.2,0.882,1.0,0.0,0.0,
0.3,0.883,1.0011337868480725,0.0,-0.0011337868480725633,-0.3333333333333333
0.4,0.869,0.9852607709750567,0.0,0.014739229024943323,14.0
0.5,0.867,0.9829931972789115,0.0,0.01700680272108845,0.375
0.6,0.854,0.9682539682539683,0.0,0.03174603174603177,2.888888888888889
0.7,0.848,0.9614512471655329,0.0,0.038548752834467154,0.9677419354838709
0.8,0.867,0.9829931972789115,0.0,0.01700680272108845,-3.081081081081081
0.9,0.856,0.9705215419501133,0.0,0.029478458049886646,4.277777777777778
1.0,0.837,0.9489795918367346,0.0,0.05102040816326535,5.241379310344827
