perturbation level,accuracy,RS,mCE,PDR,MDS
0.1,0.903,1.0,0.0,0.0,
0.2,0.883,0.9778516057585824,0.0,0.022148394241417516,
0.3,0.867,0.9601328903654485,0.0,0.03986710963455153,0.8
0.4,0.878,0.9723145071982281,0.0,0.027685492801771894,-0.6111111111111112
0.5,0.858,0.9501661129568106,0.0,0.04983388704318941,2.4000000000000004
0.6,0.836,0.9258028792912513,0.0,0.07419712070874868,1.9555555555555555
0.7,0.831,0.9202657807308969,0.0,0.07973421926910305,0.3731343283582089
0.8,0.829,0.9180509413067552,0.0,0.08194905869324481,0.16666666666666666
0.9,0.803,0.8892580287929125,0.0,0.11074197120708745,2.459459459459449
1.0,0.794,0.8792912513842747,0.0,0.12070874861572534,0.7200000000000008
