perturbation level,accuracy,RS,mCE,PDR,MDS
0.0,0.875,,,,
0.1,0.87,0.9942857142857143,0.0,0.0057142857142857195,
0.2,0.841,0.9611428571428571,0.0,0.03885714285714289,
0.3,0.829,0.9474285714285714,0.0,0.052571428571428616,0.41379310344827586
0.4,0.737,0.8422857142857143,0.0,0.15771428571428572,4.487804878048775
0.5,0.802,0.9165714285714286,0.0,0.08342857142857138,-1.4661654135338358
0.6,0.781,0.8925714285714286,0.0,0.1074285714285714,1.2352941176470609
0.7,0.763,0.872,0.0,0.12799999999999997,1.0112359550561811
0.8,0.739,0.8445714285714285,0.0,0.15542857142857144,1.345794392523366
0.9,0.726,0.8297142857142857,0.0,0.17028571428571432,0.6946564885496189
1.0,0.714,0.816,0.0,0.18400000000000002,0.6666666666666672
